,cleanedtext,standardized
16178,who likes rock party super is coming on ,['marioparty']
16188,are getting releasing 5th october have look ,['marioparty']
16229,who likes rock party super is coming on ,['marioparty']
16240,who likes rock party super is coming on ,['marioparty']
16242,who likes rock party super is coming on ,['marioparty']
16284,die party am ,['marioparty']
16319,who likes rock party super is coming on ,['marioparty']
16328,die party am ,['marioparty']
16373,die party am ,['marioparty']
16402,die party am ,['marioparty']
16443,die party am ,['marioparty']
16486,who likes rock party super is coming on ,['marioparty']
16497,die party am ,['marioparty']
16536,die party am ,['marioparty']
16555,who likes rock party super is coming on ,['marioparty']
16579,who likes rock party super is coming on october 5th ,['marioparty']
16692,get party started super comes on ,['marioparty']
16734,looks amazing at ,['marioparty']
16744,die party am ,['marioparty']
16764,in is absolute witchcraft listen any other explanation ,['marioparty']
16770,das gutes party ,['marioparty']
16864,who likes rock party super is coming on ,['marioparty']
16923,trailer just made me scream like 16 year old girl ,['marioparty']
17037,looks amazing at ,['marioparty']
17142,who likes rock party super is coming on october 5th ,['marioparty']
17181,die party am ,['marioparty']
17211,who likes rock party super is coming on ,['marioparty']
17218,get party started super comes on ,['marioparty']
17223,who likes rock party super is coming on october 5th ,['marioparty']
17251,who likes rock party super is coming on ,['marioparty']
17298,no more cars bob ,['marioparty']
17301,who likes rock party super is coming on ,['marioparty']
17332,die party am ,['marioparty']
17432,who likes rock party super is coming on ,['marioparty']
17457,looks pretty cool finally ditched cat yay ,['marioparty']
17566,who likes rock party super is coming on ,['marioparty']
17643,comes out october check out trailer here ,['marioparty']
17651,who likes rock party super is coming on october 5th ,['marioparty']
17689,now is not time party know is looks like fit perfectly ,['marioparty']
17817,looks amazing at ,['marioparty']
17936,looks amazing at ,['marioparty']
17954,looks amazing ,['marioparty']
17992,who likes rock party super is coming on october 5th ,['marioparty']
18014,who likes rock party super is coming on ,['marioparty']
18050,looks amazing at ,['marioparty']
18051,who likes rock party super is coming on ,['marioparty']
18062,looks amazing at ,['marioparty']
18119,yay new party game wait ,['marioparty']
18159,who likes rock party super is coming on ,['marioparty']
18194,die party am ,['marioparty']
18254,who likes rock party super is coming on ,['marioparty']
18337,who likes rock party super is coming on ,['marioparty']
18343,party is getting new iteration on switch titled super be releasing on october 5th ,['marioparty']
18360,die party am ,['marioparty']
18465,who likes rock party super is coming on ,['marioparty']
18484,die party am ,['marioparty']
18573,wait hate friends again ,['marioparty']
18630,are getting releasing 5th october have look ,['marioparty']
18634,who likes rock party super is coming on ,['marioparty']
18672,who likes rock party super is coming on ,['marioparty']
18698,looks amazing at ,['marioparty']
18756,who likes rock party super is coming on ,['marioparty']
18765,like party is coming switch october ,['marioparty']
18841,who likes rock party super is coming on ,['marioparty']
18860,new new new doing bad so far ,"['marioparty', 'fireemblem']"
18924,bonito ,['marioparty']
18970,got rid car hype ,"['marioparty', 'marioparty']"
19048,looks amazing ,['marioparty']
19141,am totally down ,['marioparty']
19151,pour ,['marioparty']
19175,party is getting new iteration on switch titled super be releasing on october 5th ,['marioparty']
19202,die party am ,['marioparty']
19265,who likes rock party super is coming on ,['marioparty']
19277,looks amazing at ,['marioparty']
19307,who likes rock party super is coming on ,['marioparty']
19329,holy shit switch just shot top list ,['marioparty']
19330,who likes rock party super is coming on ,['marioparty']
19443,who likes rock party super is coming on october 5th ,['marioparty']
19488,who likes rock party super is coming on ,['marioparty']
19500,looks amazing at ,['marioparty']
19557,die party am ,['marioparty']
19746,who likes rock party super is coming on ,['marioparty']
19814,are getting releasing 5th october have look ,['marioparty']
19936,who likes rock party super is coming on october 5th ,['marioparty']
19981,who likes rock party super is coming on ,['marioparty']
19987,who likes rock party super is coming on october 5th ,['marioparty']
20034,new party game has just been announced no car ,['marioparty']
20109,looks amazing at ,['marioparty']
20143,who likes rock party super is coming on october 5th ,['marioparty']
20171,who likes rock party super is coming on ,['marioparty']
20206,who likes rock party super is coming on october 5th ,['marioparty']
20248,who likes rock party super is coming on ,['marioparty']
20306,who likes rock party super is coming on ,['marioparty']
20316,die party am ,['marioparty']
20317,finally current game shitty party bus feature forced it ,['marioparty']
20354,announced coming october switch ,['marioparty']
20367,who likes rock party super is coming on ,['marioparty']
20497,get party started super comes on order now pay nothing ,['marioparty']
20571,who likes rock party super is coming on ,['marioparty']
20731,who likes rock party super is coming on ,['marioparty']
20807,games are cheaper trade in ,['marioparty']
20867,who likes rock party super is coming on ,['marioparty']
20970,die party am ,['marioparty']
21036,just have is so incredibly excited ,"['marioparty', 'fireemblem']"
21077,are getting releasing 5th october have look ,['marioparty']
21146,who likes rock party super is coming on ,['marioparty']
21214,die party am ,['marioparty']
21348,are getting releasing 5th october have look ,['marioparty']
21361,die party am ,['marioparty']
21394,coming later year is looking be best on party game series ,['marioparty']
21428,super party direct ,['marioparty']
21444,die party am ,['marioparty']
21699,die party am ,['marioparty']
21702,in game ,"['pokemonletsgo', 'marioparty']"
21732,who likes rock party super is coming on ,['marioparty']
21752,yay new party game so excited ,['marioparty']
21827,who likes rock party super is coming on october 5th ,['marioparty']
21941,looks amazing at ,['marioparty']
22009,friends become enemies once more in coming october switch ,['marioparty']
22024,are getting releasing 5th october have look ,['marioparty']
22066,party is getting new iteration on switch titled super be releasing on october 5th ,['marioparty']
22140,who likes rock party super is coming on october 5th ,['marioparty']
22187,looks amazing at ,['marioparty']
