,Tweet,cleanedtext
129,EN VIVO: Conferencia de @NintendoAmerica en #E32018 #NintendoE3 https://t.co/Cch2M3AnsP,three house march spring 
130,C'est parti ! #NintendoE3,three house march spring 
131,"RT @NintendoEurope: #NintendoDirect: #E32018 has begun! #NintendoE3

Watch it here: https://t.co/UQyYm8suvD https://t.co/CtpVPOI28J",three house march spring 
132,RT @georgrar: 🌸Animal crossing switch summons masterpost 🌸 #e32018 #nintendoe3 #nintendo #NintendoDirect #animalcrossing https://t.co/gVosB…,three house march spring 
133,Lets summon Pikmin 4 #NintendoE3 https://t.co/7nCUFUi3qj,look good 
134,"Pues vamos a ver qué nos trae la gran N @NintendoAmerica en la #E3 
#NintendoDirect",three house march spring 
135,RT @anicrossing2: #NintendoE3 https://t.co/zrAPt1ITD0,three house march spring 
136,Aight ready to get 'Tendo'd Directly into my eyes. #NintendoE3 #E32018,three house march spring 
137,はじまた #NintendoDirect,three house march spring 
138,"It’s liiiiiiiiive!!!

#NintendoDirect #NintendoSwitch #E3",three house march spring 
139,"Really hoping Nintendo has a good E3 showing. If Smash looks any good, might have to cop myself the Switch #E32018 #NintendoE3",three house march spring 
140,RT @SwitchIndie: ITS TIME! #Nintendo #NintendoDirect #E3 #E32018,three house march spring 
141,はじまた(=ﾟωﾟ) #NintendoDirect,three house march spring 
142,Neat intro bois #NintendoE3 #E32018,least favorite thing ha felt like wa smashing unit 
143,"Here we go!!!!
#E32018 #NintendoDirect",three house march spring 
144,"RT @E3: It's almost time for #NintendoE3! Put your Switch down, pick up your computer or phone and head to https://t.co/Oqi6XTNjbD to see e…",three house march spring 
145,"Нинка стартует!

#E32018 #NintendoE3 #NintendoDirect",three house march spring 
146,"RT @NintendoUK: #NintendoDirect: #E32018 has begun! #NintendoE3

Watch it here: https://t.co/oaX0wLj50t https://t.co/ulu80cPSWf",three house march spring 
147,aight bois here comes the big one #NintendoE3,three house spring 
148,Vamos allá #NintendoE3,three house march spring 
149,HERE WE GO #NintendoE3,three house march spring 
150,One last time! #NintendoE3 https://t.co/Fzw2VtKCV5,three house march spring 
151,ALRIGHT! BRING IT ONNNN!!! #NintendoE3 #E3,three house march spring 
152,Here we go! #NintendoE3,three house march spring 
153,RT @KamiIo0: #E3 #NintendoDirect https://t.co/cNQMZRDp3N,three house march spring 
154,C'est parti pour le show comme dirait Nadya #NintendoDirect,make debut fire emblem fan everywhere excited next 
155,RT @Nintenderos: ¡Arranca el Nintendo Direct: E3 2018! Síguelo en directo y en español aquí: https://t.co/p1RcAE2rSC #NintendoE3 #E3 #E3201…,three house march spring 
156,I NEED TO PEE THAT THAT CAN WAIT #NintendoE3,three house march spring 
157,HERE WE GO! #NintendoE3,three house march spring 
158,#NintendoDirect #E3 begins!,three house march spring 
159,PEGI 18 donc déjà ça sent le Bayonetta 3. #NintendoE3,three house march spring 
160,omg here we goo #NintendoE3,three house march spring 
161,It's time! #NintendoE3 #NintendoDirect,three house march spring 
162,Praying for a #Metroid Announcement🙏         #E32018⁠ ⁠ #NintendoDirect @NintendoAmerica https://t.co/dIIxxplbSo,hear look amazing wait 
163,HERE WE GOOOOOO!!! #NintendoDirect,three house march spring 
164,"RT @NintendoFrance: Le #NintendoDirect: #E32018 a commencé ! #NintendoE3

Le voir ici : https://t.co/MUeXeNOZnM https://t.co/ZBdOBpARqT",three house march spring 
165,What time is it? #NintendoE3 https://t.co/KsOAtGn1Ce,three house march spring 
166,"RT @NintendoEurope: #NintendoDirect: #E32018 has begun! #NintendoE3

Watch it here: https://t.co/UQyYm8suvD https://t.co/CtpVPOI28J",three house march spring 
167,Let's-a go. #NintendoE3,upcoming finally ha name fire emblem three house also today 
168,"始まった！
#NintendoDirect #E32018⁠ ⁠⁠ ⁠#NintendoDirectJP",three house march spring 
169,Rated M games? #NintendoE3,three house march spring 
170,ITS HAPPENING! #NintendoE3,three house march spring 
171,"RT @NintendoES: ¡El #NintendoDirect: #E32018 ha comenzado! #NintendoE3

Síguelo aquí: https://t.co/b5qWa2Lohs https://t.co/NSELAGf11i",oh fuck going 
172,ההכרזה הכי טובה של נינטדו #NintendoE3 https://t.co/BXf0rNABDg,three house march spring 
173,#NintendoE3 let's do this! 😍,new fire emblem switch so excited 
174,RT @pushsquare: Head on over to @nintendolife for all your #NintendoE3 news. Best of luck to the team over there who will be keeping you up…,three house march spring 
175,NINTENDO THREAD LETS GO!! #e3 #e32018 #NintendoE3,three house march spring 
176,"RT @gamespot: Nintendo Direct is LIVE featuring Super Smash Bros. #NintendoE3 #GameSpotE3 #E32018
https://t.co/rzIoabbhll",three house march spring 
177,"GO
 #NintendoDirect",three house spring 
178,PEGI 18 #E3 #NintendoDirect,three house march spring 
