,cleanedtext,standardized
19067,new ,['fireemblem']
19073,three house march spring ,['fireemblem']
19089,three house march spring ,['fireemblem']
19095,three house spring ,['fireemblem']
19105,europe three house march spring ,['fireemblem']
19128,three house march spring ,['fireemblem']
19133,three house march spring ,['fireemblem']
19144,three house march spring ,['fireemblem']
19152,three house march spring ,['fireemblem']
19154,three house march spring ,['fireemblem']
19208,news control army one look not hero ,['fireemblem']
19210,wait wa name ,['fireemblem']
19214,three house march spring ,['fireemblem']
19227,three house march spring ,['fireemblem']
19242,three house march spring ,['fireemblem']
19245,three house march spring ,['fireemblem']
19256,three house march spring ,['fireemblem']
19260,ca wait three house look amazing ,['fireemblem']
19268,three house march spring ,['fireemblem']
19269,three house march spring ,['fireemblem']
19285,three house march spring ,['fireemblem']
19294,three house march spring ,['fireemblem']
19298,fire emblem look so fucking good ,['fireemblem']
19312,three house march spring ,['fireemblem']
19315,three house march spring ,['fireemblem']
19342,three house march spring ,['fireemblem']
19352,three house march spring ,['fireemblem']
19358,three house march spring ,['fireemblem']
19361,three house march spring ,['fireemblem']
19375,three house march spring ,['fireemblem']
19399,three house march spring ,['fireemblem']
19400,three house march spring ,['fireemblem']
19433,three house march spring ,['fireemblem']
19441,three house march spring ,['fireemblem']
19442,three house march spring ,['fireemblem']
19451,three house march spring ,['fireemblem']
19520,three house march spring ,['fireemblem']
19530,three house march spring ,['fireemblem']
19559,three house march spring ,['fireemblem']
19576,three house march spring ,['fireemblem']
19577,three house ,['fireemblem']
19598,three house march spring ,['fireemblem']
19619,three house march spring ,['fireemblem']
19644,three house march spring ,['fireemblem']
19661,three house march spring ,['fireemblem']
19675,three house march spring ,['fireemblem']
19700,three house march spring ,['fireemblem']
19711,look interesting ,['fireemblem']
19734,it look like turned battle war movie ,['fireemblem']
19735,three house march spring ,['fireemblem']
19739,three house march spring ,['fireemblem']
19751,three house march spring ,['fireemblem']
19757,three house march spring ,['fireemblem']
19763,three house march spring ,['fireemblem']
19775,three house march spring ,['fireemblem']
19813,three house march spring ,['fireemblem']
19821,three house march spring ,['fireemblem']
19826,three house march spring ,['fireemblem']
19828,but customize character make baby new ,['fireemblem']
19830,three house march spring ,['fireemblem']
19873,three house march spring ,['fireemblem']
19876,three house march spring ,['fireemblem']
19908,three house march spring ,['fireemblem']
19911,three house march spring ,['fireemblem']
19915,three house march spring ,['fireemblem']
19924,three house march spring ,['fireemblem']
19931,three house march spring ,['fireemblem']
19938,three house march spring ,['fireemblem']
19944,three house march spring ,['fireemblem']
19955,three house march spring ,['fireemblem']
19984,three house march spring ,['fireemblem']
20005,three house march spring ,['fireemblem']
20026,three house march spring ,['fireemblem']
20050,three house march spring ,['fireemblem']
20052,three house march spring ,['fireemblem']
20064,three house march spring ,['fireemblem']
20084,three house march spring ,['fireemblem']
20085,three house march spring ,['fireemblem']
20088,three house march spring ,['fireemblem']
20099,three house march spring ,['fireemblem']
20113,three house march spring ,['fireemblem']
20117,three house march spring ,['fireemblem']
20121,three house march spring ,['fireemblem']
20211,three house march spring ,['fireemblem']
20233,three house march spring ,['fireemblem']
20234,three house march spring ,['fireemblem']
20244,three house march spring ,['fireemblem']
20257,three house march spring ,['fireemblem']
20262,three house march spring ,['fireemblem']
20273,three house march spring ,['fireemblem']
20286,three house march spring ,['fireemblem']
20292,three house march spring ,['fireemblem']
20296,three house march spring ,['fireemblem']
20311,three house march spring ,['fireemblem']
20384,three house march spring ,['fireemblem']
20388,three house march spring ,['fireemblem']
20406,three house march spring ,['fireemblem']
20416,three house ,['fireemblem']
20422,three house march spring ,['fireemblem']
20461,three house march spring ,['fireemblem']
20495,three house march spring ,['fireemblem']
20507,three house march spring ,['fireemblem']
20540,three house march spring ,['fireemblem']
20545,three house march spring ,['fireemblem']
20565,three house spring ,['fireemblem']
20580,three house march spring ,['fireemblem']
20586,three house amazing ,['fireemblem']
20588,three house march spring ,['fireemblem']
20605,three house march spring ,['fireemblem']
20649,three house march spring ,['fireemblem']
20658,three house march spring ,['fireemblem']
20682,le serum ,['fireemblem']
20686,three house march spring ,['fireemblem']
20693,three house march spring ,['fireemblem']
20694,three house march spring ,['fireemblem']
20704,three house march spring ,['fireemblem']
20710,three house march spring ,['fireemblem']
20735,three house march spring ,['fireemblem']
20742,three house march spring ,['fireemblem']
20762,three house march spring ,['fireemblem']
20792,three house march spring ,['fireemblem']
20801,three house march spring ,['fireemblem']
20804,three house march spring ,['fireemblem']
20839,three house march spring ,['fireemblem']
20840,okay new fire emblem actually look amazing may first dive series ,['fireemblem']
20841,three house march spring ,['fireemblem']
20844,three house march spring ,['fireemblem']
20860,three house march spring ,['fireemblem']
20864,three house march spring ,['fireemblem']
20886,three house march spring ,['fireemblem']
20894,look interesting ,['fireemblem']
20903,three house march spring ,['fireemblem']
20906,work cant watch moment seeing person yell fire emblem ,['fireemblem']
20932,three house march spring ,['fireemblem']
20934,three house march spring ,['fireemblem']
20938,three house march spring ,['fireemblem']
20944,three house march spring ,['fireemblem']
20945,three house march spring ,['fireemblem']
20971,so first time saw name swear thought name wa ,['fireemblem']
20989,three house march spring ,['fireemblem']
21035,three house march spring ,['fireemblem']
21036,incredibly excited ,"['marioparty', 'fireemblem']"
21046,three house march spring ,['fireemblem']
21053,three house march spring ,['fireemblem']
21078,three house march spring ,['fireemblem']
21115,three house march spring ,['fireemblem']
21120,three house march spring ,['fireemblem']
21130,three house march spring ,['fireemblem']
21144,three house march spring ,['fireemblem']
21205,three house march spring ,['fireemblem']
21212,three house march spring ,['fireemblem']
21221,three house march spring ,['fireemblem']
21222,three house march spring ,['fireemblem']
21232,three house march spring ,['fireemblem']
21235,three house march spring ,['fireemblem']
21254,three house march spring ,['fireemblem']
21260,three house march spring ,['fireemblem']
21261,three house march spring ,['fireemblem']
21271,three house march spring ,['fireemblem']
21284,three house march spring ,['fireemblem']
21288,three house march spring ,['fireemblem']
21305,three house march spring ,['fireemblem']
21317,three house march spring ,['fireemblem']
21331,three house march spring ,['fireemblem']
21342,three house march spring ,['fireemblem']
21344,three house march spring ,['fireemblem']
21346,three house march spring ,['fireemblem']
21354,three house march spring ,['fireemblem']
21386,three house march spring ,['fireemblem']
21392,three house march spring ,['fireemblem']
21409,three house spring ,['fireemblem']
21431,three house march spring ,['fireemblem']
21452,three house march spring ,['fireemblem']
21453,three house march spring ,['fireemblem']
21455,three house march spring ,['fireemblem']
21472,three house march spring ,['fireemblem']
21483,three house march spring ,['fireemblem']
21486,three house march spring ,['fireemblem']
21504,three house march spring ,['fireemblem']
21509,three house march spring ,['fireemblem']
21521,three house march spring ,['fireemblem']
21532,three house march spring ,['fireemblem']
21565,three house march spring ,['fireemblem']
21572,three house march spring ,['fireemblem']
21614,three house march spring ,['fireemblem']
21625,three house march spring ,['fireemblem']
21628,three house march spring ,['fireemblem']
21636,three house march spring ,['fireemblem']
21638,three house march spring ,['fireemblem']
21641,three house ,['fireemblem']
21647,three house march spring ,['fireemblem']
21663,three house march spring ,['fireemblem']
21700,three house march spring ,['fireemblem']
21711,three house march spring ,['fireemblem']
21716,three house march spring ,['fireemblem']
21754,three house march spring ,['fireemblem']
21774,three house march spring ,['fireemblem']
21832,three house march spring ,['fireemblem']
21870,three house march spring ,['fireemblem']
21883,three house march spring ,['fireemblem']
21933,three house march spring ,['fireemblem']
21937,three house march spring ,['fireemblem']
21946,three house march spring ,['fireemblem']
21947,three house march spring ,['fireemblem']
21972,three house march spring ,['fireemblem']
21995,three house march spring ,['fireemblem']
22022,three house march spring ,['fireemblem']
22041,three house serum ,['fireemblem']
22064,three house march spring ,['fireemblem']
22069,three house march spring ,['fireemblem']
22071,three house march spring ,['fireemblem']
22072,fire emblem already ha english voice recorded let ,['fireemblem']
22097,three house march spring ,['fireemblem']
22141,three house march spring ,['fireemblem']
22168,three house march spring ,['fireemblem']
22204,three house march spring ,['fireemblem']
22234,three house march spring ,['fireemblem']
22255,three house march spring ,['fireemblem']
22259,three house march spring ,['fireemblem']
22271,three house march spring ,['fireemblem']
22273,three house march spring ,['fireemblem']
22284,para ,['fireemblem']
22287,three house march spring ,['fireemblem']
22317,three house march spring ,['fireemblem']
22329,three house march spring ,['fireemblem']
22365,new rush way ,['fireemblem']
22374,three house march spring ,['fireemblem']
22397,three house march spring ,['fireemblem']
22399,three house march spring ,['fireemblem']
22434,three house march spring ,['fireemblem']
22438,three house march spring ,['fireemblem']
22439,three house march spring ,['fireemblem']
22450,three house march spring ,['fireemblem']
22468,three house march spring ,['fireemblem']
22513,three house march spring ,['fireemblem']
22519,three house march spring ,['fireemblem']
22524,three house march spring ,['fireemblem']
22588,three house march spring ,['fireemblem']
22590,three house march spring ,['fireemblem']
22657,three house march spring ,['fireemblem']
22669,three house march spring ,['fireemblem']
22724,three house march spring ,['fireemblem']
22745,three house march spring ,['fireemblem']
22757,three house march spring ,['fireemblem']
22778,three house march spring ,['fireemblem']
22804,three house march spring ,['fireemblem']
22827,three house march spring ,['fireemblem']
22868,three house march spring ,['fireemblem']
22887,three house march spring ,['fireemblem']
22908,three house march spring ,['fireemblem']
22939,three house march spring ,['fireemblem']
22942,three house march spring ,['fireemblem']
22947,three house march spring ,['fireemblem']
22951,three house march spring ,['fireemblem']
22952,three house march spring ,['fireemblem']
22963,three house march spring ,['fireemblem']
22986,three house march spring ,['fireemblem']
22991,three house march spring ,['fireemblem']
23037,three house march spring ,['fireemblem']
23039,three house march spring ,['fireemblem']
23043,three house march spring ,['fireemblem']
23069,three house march spring ,['fireemblem']
23074,three house march spring ,['fireemblem']
23083,three house march spring ,['fireemblem']
23096,three house march spring ,['fireemblem']
23106,three house march spring ,['fireemblem']
23145,three house march spring ,['fireemblem']
23153,three house march spring ,['fireemblem']
23160,three house march spring ,['fireemblem']
23174,three house march spring ,['fireemblem']
23178,three house march spring ,['fireemblem']
23185,three house march spring ,['fireemblem']
23189,coming messing around drop tomorrow ,['fireemblem']
23207,three house march spring ,['fireemblem']
23212,three house march spring ,['fireemblem']
23242,three house march spring ,['fireemblem']
23274,look interesting ,['fireemblem']
23275,three house march spring ,['fireemblem']
23279,new really tempted get ,['fireemblem']
23297,three house march spring ,['fireemblem']
23298,three house march spring ,['fireemblem']
23305,three house march spring ,['fireemblem']
23323,three house march spring ,['fireemblem']
23358,upcoming finally ha name fire emblem three house also ,['fireemblem']
23371,three house march spring ,['fireemblem']
23386,three house march spring ,['fireemblem']
23402,three house march spring ,['fireemblem']
23405,three house march spring ,['fireemblem']
23501,three house march spring ,['fireemblem']
23514,three house march spring ,['fireemblem']
23516,three house march spring ,['fireemblem']
23523,three house march spring ,['fireemblem']
23529,three house march spring ,['fireemblem']
23553,three house march spring ,['fireemblem']
23594,three house march spring ,['fireemblem']
23598,three house march spring ,['fireemblem']
23619,look deep addictive ,['fireemblem']
23621,three house march spring ,['fireemblem']
23646,three house march spring ,['fireemblem']
23651,three house march spring ,['fireemblem']
23660,three house march spring ,['fireemblem']
23662,three house march spring ,['fireemblem']
23693,three house march spring ,['fireemblem']
23697,three house march spring ,['fireemblem']
23707,three house march spring ,['fireemblem']
23712,ok attention ,['fireemblem']
23714,three house march spring ,['fireemblem']
23720,three house march spring ,['fireemblem']
23724,three house march spring ,['fireemblem']
23725,three house march spring ,['fireemblem']
23726,three house march spring ,['fireemblem']
23773,three house march spring ,['fireemblem']
23838,three house march spring ,['fireemblem']
23886,three house march spring ,['fireemblem']
23951,three house march spring ,['fireemblem']
23955,three house march spring ,['fireemblem']
23982,new rush way ,['fireemblem']
23984,three house march spring ,['fireemblem']
24009,three house march spring ,['fireemblem']
